"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1092","用户分组-操作人搜索","test_cases","Thu Mar 06 16:01:33 CST 2025","passed","Thu Mar 06 16:01:35 CST 2025","TestCaseExe","test_all_case","",""
"","1154","用户列表-加入黑名单","test_cases","Thu Mar 06 16:01:00 CST 2025","passed","Thu Mar 06 16:01:01 CST 2025","TestCaseExe","test_all_case","",""
"","5862","运营大屏-所有用户统计
(所有)","test_cases","Thu Mar 06 15:59:48 CST 2025","passed","Thu Mar 06 15:59:54 CST 2025","TestCaseExe","test_all_case","",""
"","907","用户分组-新增分组","test_cases","Thu Mar 06 16:01:41 CST 2025","failed","Thu Mar 06 16:01:41 CST 2025","TestCaseExe","test_all_case","",""
"","896","用户分组-删除分组","test_cases","Thu Mar 06 16:01:42 CST 2025","failed","Thu Mar 06 16:01:43 CST 2025","TestCaseExe","test_all_case","",""
"","707","获取用户反馈计数","test_cases","Thu Mar 06 15:58:00 CST 2025","passed","Thu Mar 06 15:58:01 CST 2025","TestCaseExe","test_all_case","",""
"","3143","实时大屏-营收统计","test_cases","Thu Mar 06 15:58:11 CST 2025","passed","Thu Mar 06 15:58:14 CST 2025","TestCaseExe","test_all_case","",""
"","799","获取退单计数","test_cases","Thu Mar 06 15:57:51 CST 2025","passed","Thu Mar 06 15:57:52 CST 2025","TestCaseExe","test_all_case","",""
"","994","运营大屏-押金统计
(所有)","test_cases","Thu Mar 06 15:59:17 CST 2025","passed","Thu Mar 06 15:59:18 CST 2025","TestCaseExe","test_all_case","",""
"","960","用户详情-修改过压保护值","test_cases","Thu Mar 06 16:01:29 CST 2025","passed","Thu Mar 06 16:01:30 CST 2025","TestCaseExe","test_all_case","",""
"","36440","运营大屏-首单统计
(所有)","test_cases","Thu Mar 06 15:58:40 CST 2025","passed","Thu Mar 06 15:59:17 CST 2025","TestCaseExe","test_all_case","",""
"","1156","获取菜单树","test_cases","Thu Mar 06 15:58:29 CST 2025","passed","Thu Mar 06 15:58:30 CST 2025","TestCaseExe","test_all_case","",""
"","1590","用户列表-导出-带用户名筛选条件","test_cases","Thu Mar 06 16:00:55 CST 2025","passed","Thu Mar 06 16:00:57 CST 2025","TestCaseExe","test_all_case","",""
"","1278","用户详情-修改手机号1","test_cases","Thu Mar 06 16:01:13 CST 2025","passed","Thu Mar 06 16:01:14 CST 2025","TestCaseExe","test_all_case","",""
"","2120","用户列表-门店搜索","test_cases","Thu Mar 06 16:00:17 CST 2025","passed","Thu Mar 06 16:00:19 CST 2025","TestCaseExe","test_all_case","",""
"","932","实时大屏-企业概览","test_cases","Thu Mar 06 15:58:09 CST 2025","passed","Thu Mar 06 15:58:10 CST 2025","TestCaseExe","test_all_case","",""
